,name_m,bday_m,spouse_m,child_m,education_m,role_m,birthplace_m,bday_m_sp,birthplace_m_sp,role_m_sp,spouse_m_sp,child_m_sp,age_m_diff,age_m,age_m_spouse
8486,Jamie Kaler,1964-09-14,,,,Television actor,"Hooksett, New Hampshire",,,,,,,54.555535021253,
8487,Armand Kalisz,1882-10-23,"Madeline Hatch Weiner (m. 1931) Amelia Stone (1910–?, divorced)",,,Film actor,"Paris, France",,,,,,,136.44907150728625,
8488,Danny Kamekona,1935-11-05,Michiko Kamekona,2,,Actor,"Hilo, Hawaii. U.S.",,,,,,,83.41581278191886,
8489,Stanley Kamel,1943-01-01,,,,Actor,"South River, New Jersey, U.S.",,,,,,,76.2589238656509,
8490,Milt Kamen,1921-03-05,,,,Comedian,"Hurleyville, New York",,,,,,,98.08551852536328,
8491,Kris Kamm,1964-11-29,,,,Actor,"Evanston, Illinois, U.S.",,,,,,,54.347454088721875,
8492,Steve Kanaly,1946-03-14,Brent Power (1975-present),2,,Actor,"Burbank, California, U.S.",,,,,,,73.06104848148833,
8493,Sean Kanan,1966-11-02,Athena Ubach ( m.  1999;  div.  2001) Michele Vega ( m.  2012),1,,Actor,"Cleveland, Ohio, U.S.",,,,,,,52.422705462808956,
8494,Brad Kane,1973-09-29,Sarah Thompson  ( m.  2007),1,,"Actor, singer, producer, writer","New Rochelle, New York, U.S.",1979-10-25,"Los Angeles, California, U.S.",Actress,Brad Kane  ( m.  2007),1,-6.069939834493521,45.51496608417695,39.44502624968343
8495,Christian Kane,1972-06-27,,,,"Actor, singer-songwriter","Dallas, Texas",,,,,,,46.77166540038468,
8496,Eddie Kane,1889-08-12,,,,,"St. Louis, Missouri, U.S.",,,,,,,129.64537259491982,
8497,Matthew Kane,1991-01-18,,,The Castle School,Actor,"Bristol, United Kingdom",,,,,,,28.21139380000958,
8498,Whitford Kane,1881-01-30,,,,"Actor, Drama Teacher","Larne, Northern Ireland",,,,,,,138.176690828696,
8499,Benjamin Kanes,1977-03-27,,,,"Actor, director, producer, screenwriter","Haverford, Pennsylvania, US",,,,,,,42.0241346502666,
8500,Sung Kang,1972-04-08,Miki Yim,,,"Actor, Producer","Gainesville, Georgia, U.S.",,,,,,,46.990697960943756,
8501,Tim Kang,1973-03-16,,1,"University of California, Berkeley (BA)Harvard University (MFA)",Actor,"San Francisco, California, U.S.",,,,,,,46.05433376455369,
8502,Adam Kantor,,,,,"Actor, singer",United States,,,,,,,,
8503,Archie Kao,1969-12-14,Zhou Xun  ( m.  2014),,,Actor,"Washington D.C., U.S.",1974-10-18,"Quzhou, Zhejiang, China","
Actress
Singer
",Archie Kao  ( m.  2014),,-4.84335749536267,49.306967288856036,44.46360979349336
8504,George Kapetan,,,,,"Film, stage, television actor","Detroit, Michigan",,,,,,,,
8505,Peter Kapetan,,,,Andover,"Actor, singer, dancer",,,,,,,,,
8506,Marvin Kaplan,1927-01-24,Rosa Felsenburg ( m.  1973;  div.  1976),,,Actor,"Brooklyn, New York, U.S.",,,,,,,92.19628055333101,
8507,Akshay Kapoor,1980-09-18,Cynthia Jacob [1],,,Actor,"Mumbai, Maharashtra, India",,,,,,,38.54425484438421,
8508,Ron Karabatsos,1933-04-22,"Janell, ?-2012, his death","2, son Ronald, Jr. (deceased)Dawnne (daughter) 1 grandchild, and 2 great-grandchildren",,Actor,"Elizabeth, New Jersey, U.S.",,,,,,,85.95385257739721,
8509,James Karen,1923-11-28,Susan Reed  (1958–1967; divorced; 1 child) Alba Francesca (m. 1986),,,Actor,"Wilkes-Barre, Pennsylvania, U.S.",,,,,,,95.35308733238875,
8510,Andy Karl,,Orfeh  ( m.  2001),,Towson High School,"Actor, singer","Baltimore, Maryland, U.S.",1971-03-28,"New York City, U.S.","Singer, songwriter, actress",Andy Karl  ( m.  2001),,,,48.02288890257842
8511,Richard Karlan,1919-04-24,,,,Actor,"Brooklyn, New York City, New York",,,,,,,99.95003319712247,
8512,John Karlen,1933-05-28,Betty Karlen (1963-1998; divorced); 1 son,,,Actor,"Brooklyn, New York, U.S.",,,,,,,85.85528792514562,
8513,Richard Karn,1956-02-17,Tudi Roche  (1985–present),Cooper Andrew Wilson (b. 1992),,Actor/Game show host,"Seattle, Washington, U.S.",,,,,,,63.13065976714101,
8514,John Karna,1992-11-18,,,,Actor,"Houston, TX, U.S.[1]",,,,,,,26.376996105327283,
8515,Philipp Karner,1979-07-15,,,,"Actor, Writer, Director","Vienna, Austria",,,,,,,39.72429276439626,
8516,Jay Karnes,1963-06-27,Julia Campbell  (m. 1997),2,,Actor,"Omaha, Nebraska, U.S.",,,,,,,55.77390363936289,
8517,Robert Karnes,1917-06-19,,,,Actor,"Paducah, Kentucky, U.S.",,,,,,,101.79538251983271,
8518,Roscoe Karns,1891-09-07,Mary M. Fraso ( m.  1920–1970),2; including Todd Karns,,Actor,"San Bernardino, California, U.S.",,,,,,,127.5755148976365,
8519,Todd Karns,1921-01-19,Katherine Karns ( m.  1944; died 2000),3,,Actor,"Hollywood, California, U.S.",,,,,,,98.20872434067778,
8520,Alex Karpovsky,,,,,"Actor, writer, film director, producer, film editor","Newton, Massachusetts[1]",,,,,,,,
8521,Tim Jo,1984-04-20,,,,Actor,"Dallas, Texas, USA",,,,,,,34.95759666522927,
8522,Paul Johansson,1964-01-26,,,,"Actor, film director","Spokane, Washington, United States",,,,,,,55.190729446874336,
8523,Arch Johnson,1922-03-14,Yvonne Saccard	(1957–1966; divorced; 2 children) Eleanor M. Willey (1969–1971; divorced) Joyce Johnson (?–1981; divorced; 3 children) Jean D. Heibeck (1994–1997; his death),,,"Stage, film, and television actor","Minneapolis, Minnesota, U.S.",,,,,,,97.06154130474958,
8524,Arnold Johnson,1921-11-15,Betty Heater Johnson,,,Actor,"Brooklyn, New York, U.S.",,,,,,,97.38735223858122,
8525,Arte Johnson,1929-01-20,Gisela Johnson ( m.  1968),,,Actor,"Benton Harbor, Berrien CountyMichigan, U.S.",,,,,,,90.20582215925036,
8526,Arthur Vaughan Johnson,1876-02-02,"Maude Webb,  Florence Hackett (?)",,,ActorFilm director,"Cincinnati, Ohio",,,,,,,143.17063320944305,
8527,Ben Johnson,1918-06-13,Carol Elaine Jones (1941–1994; her death),,,Actor,"Foraker, Oklahoma, U.S.",,,,,,,100.81247390432384,
8528,Bill Johnson,1951-12-16,,,,Actor,"Austin, Texas",,,,,,,67.3032300457915,
8529,Bob Johnson,1920-05-04,,,,Actor,"Portland, Oregon, U.S.",,,,,,,98.92058016249479,
8530,Brad Johnson,1959-10-24,Laurie Johnson ( m.  1986),10,,Actor,"Tucson, Arizona, U.S.",,,,,,,59.448174842741466,
8531,Brad Johnson,1924-07-23,"Adele Cook Johnson (married 1950-1981, his death)","Sander K. Johnson
Julie Johnson Storozynski",,ActorReal estate developer,"Yuba County, California",,,,,,,94.70146546472549,
8532,Bryan Johnson,1967-12-07,,,,"Comic book writer, podcaster, television personality, actor, screenwriter, film director","Highlands, New Jersey, U.S.",,,,,,,51.327542660013556,
8533,Bryce Johnson,1977-04-18,Dawn Joanne Shand ( m.  2003),,,Actor,"Reno, Nevada, United States",,,,,,,41.96390069611286,
8534,"Charles ""Chubby"" Johnson",1903-08-13,,,,Actor; Journalist,"Terre Haute, Vigo CountyIndiana, U.S.",,,,,,,115.64645406818758,
8535,Clark Johnson,1954-09-10,,,,"Actor, director","Philadelphia, Pennsylvania, United States",,,,,,,64.56806094580998,
8536,Corey Johnson,1961-05-17,Lucy Cohu  (m. 1994; div. 2005),1,,Actor,"New Orleans, Louisiana, U.S.",,,,,,,57.88482994175103,
8537,Don Johnson,1949-12-15,Spouse 1 ( m.  1968;  annulled  1968) Spouse 2 ( m.  1973; annulled 1973) Melanie Griffith ( m.  1976;  div.  1976) ( m.  1989;  div.  1996) Kelley Phleger  ( m.  1999),"5, including Jesse and Dakota Johnson",,"Actor, producer, director, singer, songwriter","Flat Creek, Missouri, U.S.",,,,,,,69.3046400679001,
8538,Dwayne Johnson,1972-05-02,Dany Garcia ( m.  1997;  div.  2007),3,,"Actor, producer, professional wrestler","Hayward, California, U.S.",,,,,,,46.924988192776034,
8539,Hassan Johnson,1972-10-03,,Autumn,,"Actor, model, film producer","Staten Island, New York, United States",,,,,,,46.5033505136998,
8540,Hisonni Johnson,1984-12-19,,,,,"Milwaukee, Wisconsin, U.S.",,,,,,,34.29228526253106,
8541,Jack Johnson,1987-04-07,,,,Actor,"Los Angeles, California, United States",,,,,,,31.9951812836677,
8542,Jake Johnson,1978-05-28,Erin Payne ( m.  2006),2,,"Actor, comedian","Evanston, Illinois, U.S.",,,,,,,40.85504835828251,
8543,Jason Johnson,1974-11-30,,,,"Kickboxer, fitness professional and actor","Janesville, Wisconsin",,,,,,,44.34587979219286,
8544,Jay Armstrong Johnson,1987-09-01,,,,Actor,"Fort Worth, Texas, US",,,,,,,31.59270895364039,
8545,Jef Johnson,,,,,"Clown, drama teacher",United States,,,,,,,,
8546,Jeffrey Johnson,1970-01-28,,,,"Actor, Musician","Southborough, Massachusetts",,,,,,,49.18376147354155,
8547,Jesse Johnson,1982-12-07,,,,"Actor, singer, screenwriter","Los Angeles, California, U.S.",,,,,,,36.32655016872352,
8548,Keith Johnson,1953-02-19,,,,"Stage, film, television actor","Washington, DC",,,,,,,66.12319212577945,
8549,Kenny Johnson,1963-07-13,"
 Actor 
 producer 
 model 
",1,,"
Actor
producer
model
","New Haven, Connecticut, U.S.",,,,,,,55.73009712725107,
8550,Knowl Johnson,1970-09-16,,,,Voice actor/actor,"Greenwich, Connecticut, United States",,,,,,,48.551304954927204,
8551,Lamont Johnson,1922-09-30,,,,"Actor, director","Stockton, California, U.S.",,,,,,,96.51395990335189,
8552,Noble Johnson,1881-04-18,Ruth Thornton (1912–?) Gladys Blackwell,,,,"Marshall, Missouri,  U.S.",,,,,,,137.9631340821509,
8553,Orrin Johnson,,,,,Actor,"Louisville, Kentucky, United States",,,,,,,,
8554,Patrick Johnson,1993-02-19,Taylor Green Johnson,,,Actor,"Orlando, Florida, U.S.",,,,,,,26.12237075367735,
8555,Richard Brandon Johnson,,Ariel Fox (m. 2013),1,,"Actor, TV host, real-estate investor","Bloomington, Minnesota, U.S.",,,,,,,,
8556,Raymond Edward Johnson,,Betty Caine,,,Actor,"Kenosha, Wisconsin",,,,,,,,
8557,Russell Johnson,1924-11-10,Actor,2,,Actor,"Ashley, Pennsylvania, U.S.",,,,,,,94.40029569395675,
8558,Tefft Johnson,1883-09-23,,,,Actor,"Washington, D.C., U.S.",,,,,,,135.5318726599451,
8559,Van Johnson,1916-08-25,Eve Lynn Abbott Wynn ( m.  1947;  div.  1968),Schuyler V. Johnson (b. 1948)Stepsons:Ned Wynn (b. 1941)Tracy Keenan Wynn (b. 1945)[1][2],,"Actor, dancer, singer","Newport, Rhode Island, U.S.",,,,,,,102.61127880791528,
8560,William Johnson,1916-03-22,,,,"
Actor
singer
","Baltimore, Maryland, U.S.",,,,,,,103.0383923010055,
8561,J. J. Johnston,1933-10-24,,,,"Actor, writer, historian","Chicago, Illinois",,,,,,,85.44733978110433,
8562,J. W. Johnston,1876-10-02,,,,Actor,"Kilkee, County Clare,Ireland",,,,,,,142.50532180674483,
8563,Jay Johnston,1968-10-22,,,,"Actor, comedian, writer","Chicago, Illinois, U.S.",,,,,,,50.45141241777723,
8564,John Dennis Johnston,1945-11-10,Karla Pitti Johnston (1981–present),,,Actor,"Lincoln, Nebraska, US",,,,,,,73.4005489503549,
8565,Lorimer Johnston,1858-11-02,,,,"Actor, film director","Maysville, Kentucky, United States",,,,,,,160.42218526047762,
8566,Michael Joiner,,Michelle Joiner,"Dustin Joiner; 19, Jack Joiner; 17, Max Joiner; 14",,"Actor, stand-up comedian, film maker","Gary, Indiana",,,,,,,,
8567,Rusty Joiner,1972-12-11,,,,,"Montgomery, Alabama, U.S.",,,,,,,46.314434930217594,
8568,I. Stanford Jolley,1900-10-24,Emily Mae Jolley,StanSandra,,,"Elizabeth, New Jersey, U.S.",,,,,,,118.44733293633682,
8569,Al Jolson,1886-05-26,Henrietta Keller ( m.  1907;  div.  1919) Alma Osbourne ( m.  1922;  div.  1928) Ruby Keeler ( m.  1928;  div.  1940) Erle Galbraith ( m.  1945),3 (all adopted),,"Actor, comedian, singer","Seredžius, Kovno Governorate, Russian Empire",,,,,,,132.8596754211243,
8570,Joe Jonas,1989-08-15,"Sophie Turner  (2016–present, engaged)",,,"
Singer
songwriter
actor
record producer
","Casa Grande, Arizona, U.S.",,,,,,,29.637843350650595,
8571,Kevin Jonas,1987-11-05,Danielle Deleasa  ( m.  2009),2,,"
Musician
songwriter
singer
actor
director
general contractor
entrepreneur
","Teaneck, New Jersey, U.S.",1986-09-18,"Denville, New Jersey, U.S.","
Television personality
Model
Entrepreneur
Founder of ""Moments Jewelry""
",Kevin Jonas  ( m.  2009),2,1.1307555938862537,31.414744998186137,32.54550059207239
8572,Nick Jonas,1992-09-16,Priyanka Chopra  ( m.  2018),,,Singersongwriteractor,"Dallas, Texas, U.S.",1982-07-18,"Jamshedpur, Bihar (now in Jharkhand), India","
Actress
singer
film producer
model
",Nick Jonas  ( m.  2018),,10.165848716948329,26.54948424676756,36.71533296371589
8573,Frank Jonasson,1878-12-14,,,,Actor,"Salt Lake City, Utah, USA",,,,,,,140.30678248013305,
8574,Wesley Jonathan,1978-10-18,Tamara Mitchell ( m.  2016),1,,Actor,"Los Angeles, California, U.S.",,,,,,,40.463527656283155,
8575,Allan Jones,1907-10-14,Marjorie Buel (1929-1936) (divorced) (1 child) Irene Hervey  (1936-1957) (divorced) (1 child) Mary Florsheim Picking (1958-1964) (divorced) Esther Marie Villavincie (1967-1992) (his death),Jack JonesTed Jones,,"singer, actor","Old Forge, Pennsylvania, U.S.",,,,,,,111.47662169654407,
8576,Angus T. Jones,1993-10-08,,,,Actor,"Austin, Texas, U.S.",,,,,,,25.489914235063004,
8577,Brandon Jones,1988-05-07,,,,"Actor, musician, producer, model, athlete","Greensboro, North Carolina, U.S.",,,,,,,30.91097010890025,
8578,Brandon Scott Jones,1984-06-06,,,,"Actor, writer","Bel Air, Maryland",,,,,,,34.828915035900806,
8579,Buck Jones,1891-12-12,Odille Osborne (1915-1942) (his death) (1 child),Maxine Jones (b. 1918)married Noah Beery Jr (1940–1966),,Actor,"Vincennes, Indiana, U.S.",,,,,,,127.31267582496561,
8580,Caleb Landry Jones,1989-12-07,,,,"
Actor
musician
","Garland, Texas, U.S.",,,,,,,29.325721951853904,
8581,Christopher Jones,1982-02-04,,,,Actor/Dancer,"Myrtle Beach, South Carolina U.S.",,,,,,,37.164349712862006,
8582,Christopher Jones,1941-08-18,Susan Strasberg ( m.  1965;  div.  1968) Carrie Abernathy ( m.  1976;  div.  1983) Paula McKenna  ( m.  1983),7,,Actor,"Jackson, Tennessee, U.S.",1938-05-22,"New York City, U.S.",Actress,Christopher Jones ( m.  1965;  div.  1968),1,3.241681896274393,77.63061527615214,80.87229717242654
8583,CJ Jones,1950-09-29,,,Missouri School for the Deaf,Actor,"St. Louis, Missouri, United States",,,,,,,68.51612284988741,
8584,Dean Jones,1931-01-25,Mae Inez Entwisle ( m.  1954;  div.  1971) Loretta Basham ( m.  1973),3,,"Actor, singer","Decatur, Alabama, U.S.",,,,,,,88.1934605091138,
8585,Dickie Jones,1927-02-25,Betty Jones ( m.  1948; his death 2014),4,Hollywood High School,"Actor, singer","Snyder, Texas, U.S.",,,,,,,92.10866752910738,
8586,Donald Jones,1932-01-24,Adèle Bloemendaal (m. 1963),John Jones,,"Actor, dancer, singer","Harlem, New York, U.S.",,,,,,,87.19686235856999,
8587,Doug Jones,1960-05-24,Laurie Jones ( m.  1984),,,"Actor, contortionist","Indianapolis, Indiana, U.S.",,,,,,,58.86500065025292,
8588,Duane Jones,1937-02-02,"July 22, 1988 (1988-07-22)  (aged 51) Mineola, New York , U.S.",,,"Actor, director, teacher","New York City,  U.S.",,,,,,,82.1700650937391,
8589,Gene Jones,,,,,Actor,United States,,,,,,,,
8590,Gordon Jones,1912-04-05,Lucile Van Winkle (1935–1940) [2],,,Actor,"Alden, Iowa, U.S.",,,,,,,107.00014374011786,
8591,Henry Jones,1912-08-01,Yvonne Bergere (1942; her death) Judy Briggs (1946-61; divorce; 2 children),,,,"New Jersey, U.S.",,,,,,,106.67707071329322,
8592,Ike Jones,1929-12-23,Inger Stevens ( m.  1961; died 1970),,Santa Monica High School,"Film producer, actor","Santa Monica, California, US",1934-10-18,"Stockholm, Sweden",,Anthony Soglio ( m.  1955;  div.  1958) Ike Jones  ( m.  1961),,-4.818716332299774,89.28314749789523,84.46443116559546
8593,James Earl Jones,1931-01-17,"
 Julienne Marie ( m.  1968;  div.  1972) [2] 
 Cecilia Hart ( m.  1982; died 2016) 
 [3]",1[4],,Actor,"Arkabutla, Mississippi, U.S.",1937-03-21,"Toledo, Ohio, U.S.",Actresssinger,Gerald Kean ( m.  1955;  div.  1961) James Earl Jones ( m.  1968;  div.  1972) John Scanlon ( m.  1974; died 2001),,-6.1739803007590845,88.21536376516971,82.04138346441063
8594,Jamison Jones,1969-02-15,,,,Actor,"Rochester, Michigan, U.S.",,,,,,,50.13381520496657,
8595,Jeffrey Jones,1946-09-28,,Julian Coutts[1],"Putney School, London Academy of Music and Dramatic Art",Actor,"Buffalo, New York, U.S.",,,,,,,72.5189428941046,
8596,John Marshall Jones,1962-07-05,,1,,Actor,"Detroit, Michigan, U.S.",,,,,,,56.751336440857784,
8597,L. Q. Jones,1927-08-19,Neta S. Lewis (1950–1973; divorced),,,"Actor, director","Beaumont, Texas, U.S.",,,,,,,91.62953380288438,
8598,Luka Jones,1975-08-18,,,,"Actor, comedian","Evanston, Illinois",,,,,,,43.631286063368854,
8599,Matt Jones,1981-11-01,Kelly Daly ( m.  2012),1,,"Actor, singer, songwriter","Sacramento, California, U.S.",,,,,,,37.42445087852591,
8600,Michael Jones,1987-07-24,Lindsay Jones  ( m.   2014 ),2,,"Actor, YouTube personality","Woodbridge Township, New Jersey, U.S.",1989-09-06,"Southlake, Texas, U.S.","Voice actress, manager of Achievement Hunter",Michael Jones  ( m.   2014 ),2,-2.1218779304160935,31.69948732691294,29.577609396496847
8601,Mickey Jones,1941-06-10,Sandra Joel Davis (m. ?—1976; divorced) Phyllis Jean Starr ( m.  1980; his death 2018),2,,"Actor, musician","Houston, Texas, U.S.",,,,,,,77.81953085963436,
8602,Morgan Jones,1928-06-15,Joan Granville (?-1974) (her death) (1 child) Carole Tetzlaff (1976-2006) (her death),,,Actor,"Wooster, Ohio, U.S.",,,,,,,90.80542379378085,
8603,Neal Jones,1960-01-02,Jamie  (wife),,,Actor,"Wichita, Kansas, United States",,,,,,,59.25652135225227,
8604,Orlando Jones,1968-04-10,Jacqueline Staph (2009–present),1,,"Stand-up comedian, actor, voice artist, comedian","Toulminville, Alabama, U.S.",,,,,,,50.98530428413999,
8605,Preston Jones,1983-08-21,,,,Actor,"Dallas, Texas, U.S.",,,,,,,35.622908067927476,
8606,Richard T. Jones,1972-01-16,Nancy Robinson,3,,Actor,"Kobe, Japan",,,,,,,47.2179442425238,
8607,Robbie Jones,1977-09-25,,,,Actor,"Oxnard, California",,,,,,,41.525835574994694,
8608,Robert Earl Jones,,"
 Ruth Connolly ( m.  1929;  div.  1934) 
 Jumelle Jones ( m.  1938;  div.  1950) 
 Ruth Williams ( m.  1960; died 1981) 
",2; including James Earl Jones,,Actorboxer,"Tate County, Mississippi, U.S.",,,,,,,,
8609,Ron Cephas Jones,1957-01-08,,Jasmine Cephas Jones,,Actor,"Paterson, New Jersey, United States",,,,,,,62.23810208286275,
8610,Sam Jones III,1983-04-29,,,,Actor,"Boston, Massachusetts, U.S.",,,,,,,35.93502946672416,
8611,Sam J. Jones,1954-08-12,Lynn Eriks ( m.  1982;  div.  1987) Ramona Lynn Jones ( m.   1992 ),5,,Actor,"Chicago, Illinois, U.S.",,,,,,,64.64746024901264,
8612,T. C. Jones,1920-10-26,Connie Dickson Jones,,,"Female impersonator, actor","Scranton, Pennsylvania, U.S.",,,,,,,98.44144643627179,
8613,Tilky Montgomery Jones,1981-06-24,,,,"Actor, musician","Charleston, South Carolina, U.S.",,,,,,,37.780378789434415,
8614,Tommy Lee Jones,1946-09-15,"Katherine ""Kate"" Lardner ( m.  1971–1978) Kimberlea Cloughley ( m.  1981–1996) Dawn Laurel ( m.  2001)",2,,"Actor, director, producer, screenwriter","San Saba, Texas, U.S.",,,,,,,72.55453568519545,
8615,Ty Granderson Jones,1964-01-19,,,,"Actor, Screenwriter and Producer","Tampa Bay, Florida, U.S.",,,,,,,55.209894795923255,
8616,Tyler Patrick Jones,1994-03-12,,,,Actor,"California, United States",,,,,,,25.06553864897979,
8617,Walter Emanuel Jones,1970-11-30,,,,"Actor, dancer, martial artist","Detroit, Michigan, U.S.",,,,,,,48.34596192940307,
8618,Jo D. Jonz,,,,,"Actor, director, writer, producer","New York City, New York, U.S.",,,,,,,,
8619,Spike Jonze,1969-10-22,Sofia Coppola ( m.  1999;  div.  2003),,,"Director, producer, screenwriter, actor, photographer","Rockville, Maryland U.S.",1971-05-14,"New York City, New York, U.S.","Screenwriter, director, producer, actress","
 Spike Jonze ( m.  1999;  div.  2003) 
 Thomas Mars  ( m.  2011) 
",2,-1.5578690869764609,49.45207636022643,47.89420727324996
8620,Bobby Jordan,1923-04-01,Lee Jordan ( m.  1946;  div.  1957),,,Actor,"Harrison, New York, U.S.",,,,,,,96.01292292107298,
8621,Jeremy Jordan,1984-11-20,Ashley Spencer  ( m.  2012),,,"Actor, singer, dancer, songwriter","Corpus Christi, Texas, U.S.",1985-03-08,"Canton, Ohio, U.S.[1]","Actress, singer, dancer",Jeremy Jordan  ( m.  2012),,-0.29569395675475885,34.37168456573372,34.07599060897897
8622,Leslie Jordan,1955-04-29,,,,"Actor, playwright","Memphis, Tennessee, United States[1]",,,,,,,63.93560442719563,
8623,Richard Jordan,1937-07-19,Kathleen Widdoes ( m.  1964;  div.  1972),2,,Actor,"New York City, U.S.",1939-03-21,"Wilmington, Delaware, U.S.",Actress,Richard Jordan ( m.  1964;  div.  1972)    Jerry Senter,1,-1.6701232742629897,81.71283462357201,80.04271134930902
8624,Sid Jordan,1889-08-12,,,,Actor,"Muskogee, Oklahoma, United States",,,,,,,129.64537259491982,
8625,Will Jordan,,,,,"Actor, stand-up comedian","Bronx, New York",,,,,,,,
8626,William Jordan,1937-10-13,,,,Actor,"Milan, Indiana",,,,,,,81.477374620971,
8627,Kahlil Joseph,,,,,"Actor in film, stage, television, voice-over; singer; martial artist; dialect coach; teacher","New Delhi, India",,,,,,,,
